Date,Open,High,Low,Close*,Adj Close**,Volume
"Mar 06, 2023","17,320.00","17,380.00","17,229.00","17,306.00","17,306.00","2,635"
"Mar 03, 2023","17,267.00","17,320.00","17,247.00","17,246.00","17,246.00","3,490"
"Mar 02, 2023","17,259.00","17,259.00","17,100.00","17,172.00","17,172.00","19,618"
"Mar 01, 2023","17,375.00","17,383.00","17,212.00","17,260.00","17,260.00","5,302"
"Feb 28, 2023","17,550.00","17,612.00","17,503.00","17,515.00","17,515.00","2,993"
"Feb 27, 2023","17,323.00","17,547.00","17,322.00","17,470.00","17,470.00","1,957"
"Feb 24, 2023","17,360.00","17,448.00","17,340.00","17,246.00","17,246.00","2,485"
"Feb 23, 2023","17,362.00","17,420.00","17,313.00","17,365.00","17,365.00","1,348"
"Feb 22, 2023","17,543.00","17,543.00","17,249.00","17,335.00","17,335.00","11,723"
"Feb 21, 2023","17,405.00","17,630.00","17,308.00","17,526.00","17,526.00","1,121"
"Feb 20, 2023","17,303.00","17,449.00","17,253.00","17,431.00","17,431.00","7,172"
"Feb 17, 2023","17,358.00","17,358.00","17,242.00","17,255.00","17,255.00","4,513"
"Feb 16, 2023","17,284.00","17,483.00","17,284.00","17,344.00","17,344.00","3,572"
"Feb 15, 2023","17,249.00","17,268.00","17,133.00","17,163.00","17,163.00","1,373"
"Feb 14, 2023","17,118.00","17,272.00","17,109.00","17,230.00","17,230.00","2,978"
"Feb 13, 2023","16,999.00","17,099.00","16,904.00","17,055.00","17,055.00","15,844"
"Feb 10, 2023","16,856.00","16,999.00","16,856.00","16,966.00","16,966.00","30,009"
"Feb 09, 2023","16,858.00","17,066.00","16,858.00","16,982.00","16,982.00","17,583"
"Feb 08, 2023","16,644.00","16,797.00","16,644.00","16,920.00","16,920.00","1,539"
"Feb 07, 2023","16,650.00","16,650.00","16,492.00","16,554.00","16,554.00","20,111"
"Feb 06, 2023","16,521.00","16,647.00","16,521.00","16,625.00","16,625.00","2,078"
"Feb 03, 2023","16,300.00","16,527.00","16,300.00","16,538.00","16,538.00","10,916"
"Feb 02, 2023","16,450.00","16,501.00","16,265.00","16,300.00","16,300.00","2,390"
"Feb 01, 2023","16,450.00","16,705.00","16,450.00","16,513.00","16,513.00","2,760"
"Jan 31, 2023","16,694.00","16,694.00","16,536.00","16,602.00","16,602.00","4,442"
"Jan 30, 2023","16,474.00","16,635.00","16,434.00","16,664.00","16,664.00","2,551"
"Jan 27, 2023","16,606.00","16,606.00","16,444.00","16,506.00","16,506.00","1,300"
"Jan 26, 2023","16,513.00","16,556.00","16,322.00","16,486.00","16,486.00","2,414"
"Jan 25, 2023","16,508.00","16,508.00","16,336.00","16,353.00","16,353.00","242,451"
"Jan 24, 2023","16,744.00","16,758.00","16,395.00","16,425.00","16,425.00","169,714"
"Jan 23, 2023","16,713.00","16,731.00","16,559.00","16,626.00","16,626.00","48,991"
"Jan 20, 2023","16,647.00","16,772.00","16,504.00","16,576.00","16,576.00","1,460"
"Jan 19, 2023","16,513.00","16,627.00","16,498.00","16,603.00","16,603.00","5,361"
"Jan 18, 2023","16,575.00","16,692.00","16,470.00","16,562.00","16,562.00","9,022"
"Jan 17, 2023","16,357.00","16,600.00","16,357.00","16,585.00","16,585.00","5,951"
"Jan 16, 2023","16,201.00","16,520.00","16,200.00","16,381.00","16,381.00","20,205"
"Jan 13, 2023","16,200.00","16,209.00","16,104.00","16,164.00","16,164.00","1,195"
"Jan 12, 2023","16,081.00","16,085.00","15,942.00","15,961.00","15,961.00","5,844"
"Jan 11, 2023","16,091.00","16,146.00","15,985.00","16,098.00","16,098.00",913
"Jan 10, 2023","16,100.00","16,248.00","16,100.00","16,159.00","16,159.00","1,782"
"Jan 09, 2023","16,167.00","16,266.00","16,031.00","16,117.00","16,117.00","5,428"
"Jan 06, 2023","15,851.00","15,912.00","15,764.00","16,012.00","16,012.00","1,367"
"Jan 05, 2023","15,623.00","15,867.00","15,623.00","15,823.00","15,823.00","2,595"
"Jan 04, 2023","15,651.00","15,651.00","15,542.00","15,596.00","15,596.00","3,129"
"Jan 03, 2023","15,556.00","15,790.00","15,556.00","15,664.00","15,664.00","1,501"
"Dec 30, 2022","15,545.00","15,589.00","15,545.00","15,548.00","15,548.00",278
"Dec 29, 2022","15,700.00","15,700.00","15,554.00","15,569.00","15,569.00",396
"Dec 28, 2022","15,725.00","15,923.00","15,725.00","15,863.00","15,863.00","1,405"
"Dec 23, 2022","15,660.00","15,687.00","15,660.00","15,661.00","15,661.00",568
"Dec 22, 2022","15,838.00","15,846.00","15,680.00","15,693.00","15,693.00",697
"Dec 21, 2022","15,852.00","15,864.00","15,734.00","15,812.00","15,812.00","6,667"
"Dec 20, 2022","15,713.00","15,806.00","15,619.00","15,715.00","15,715.00","3,053"
"Dec 19, 2022","16,100.00","16,182.00","15,672.00","15,748.00","15,748.00","4,877"
"Dec 15, 2022","16,200.00","16,281.00","16,096.00","16,142.00","16,142.00","7,154"
"Dec 14, 2022","16,280.00","16,280.00","16,078.00","16,221.00","16,221.00","1,944"
"Dec 13, 2022","16,400.00","16,522.00","16,316.00","16,562.00","16,562.00","1,527"
"Dec 12, 2022","15,981.00","16,342.00","15,981.00","16,269.00","16,269.00","1,168"
"Dec 09, 2022","15,925.00","16,170.00","15,925.00","16,170.00","16,170.00","14,442"
